Grm7,PIAS3
Grm8,PIAS3
Grm4,CBX4
Grm6,CBX4
Grm7,CBX4
Grm8,CBX4
Grm4,UBE2I
Grm6,UBE2I
Grm7,UBE2I
Grm8,UBE2I
Grm8,SUMO1
Grm8,Cbx4
Kcnip3,Sumo1
Kcnb1,Sumo2
Kcnb1,Sumo3
Kcnb1,Sumo1
Kcnb1,Ube2i
Nedd4,FOXJ2
Nedd4,PLSCR3
Nedd4,WBP2
Nedd4,ABL1
Nedd4,FGF12
Nedd4,FKBP3
Nedd4,ANXA9
Nedd4,EIF5
Nedd4,MAPKAPK5
Nedd4,YY1
Nedd4,MAP2
Nedd4,DYT10
Nedd4,ZAK
Nedd4,SLC23A2
Nedd4,BEAN1
Nedd4,AKT3
Nedd4,AQP9
Nedd4,MAPKAPK3
Nedd4,FLT1
Nedd4,BRAF
Nedd4,TIMM10
Nedd4,SERPIND1
Nedd4,CUEDC1
Nedd4,CAMK1D
Nedd4,SGK2
Nedd4,MAP3K3
Nedd4,TEC
Nedd4,CDK5
Nedd4,AKT1
Nedd4,PDGFRA
Nedd4,ACAN
Nedd4,MAP3K8
Nedd4,TRPT1
Nedd4,BLK
Nedd4,PRKCD
Nedd4,FYN
Nedd4,MAP2K1
Nedd4,BMPR1B
Nedd4,DNAAF2
Nedd4,MAPK12
Nedd4,RGS3
Nedd4,KLC4
Nedd4,NTRK2
Nedd4,BTK
Nedd4,EGFR
Nedd4,POLR3D
Nedd4,CSNK2A1
Nedd4,STK16
Nedd4,ADRBK1
Gorasp1,Ubc
Gorasp1,Fbxw8
Stx1a,Snap25
Stx1a,Vamp2
Sumo3,Akr1b1
Sumo3,Myh9
Sumo3,Rpn1
Sumo3,Ube2i
Sumo3,Runx1
Sumo3,Serpinh1
Sumo3,Eef2
Sumo3,Hnrnpa1
Sumo3,Ldha
Sumo3,Ppp2ca
Sumo3,Ubc
Sumo3,Acta1
Sumo3,Cltc
Sumo3,Eif2s1
Sumo3,Sox10
Sumo3,Anxa2
Sumo3,Nop58
Sumo3,Tuba1a
Sumo3,Safb
Sumo3,Rps14
Sumo3,Arf2
Sumo3,Hspa8
Sumo3,Prmt1
Sumo3,Ptbp1
Sumo3,Lig1
Sumo3,Msn
Sumo3,Gnai2
Sumo3,Msh2
Sumo3,Vdac1
Sumo3,Vdac2
Sumo3,Nefl
Sumo3,Impa1
Sumo3,Vim
Sumo3,Pgam1
Sumo3,Pias2
Sumo3,Rab14
Sumo3,Gnb2l1
Sumo3,Xpnpep1
Sumo3,Zhx1
Sumo3,Gbp2
Sumo3,Nacc1
Sumo3,Slc25a3
Sumo3,Hspa4
Sumo3,Gstp1
Sumo3,Hnrnpf
Sumo3,Tubb5
Sumo3,Eef1a1
Sumo3,Hsp90aa1
Sumo3,Rpl3
Sumo3,Cct3
Sumo3,Pgk1
Sumo3,Gdi2
Sumo3,Atp5a1
Sumo3,Aco2
Sumo3,Eif4a1
Sumo3,Pfn1
Sumo3,Mdh2
Sumo3,Rab1a
Sumo3,Krt5
Sumo3,Lmna
Sumo3,Ddx39b
Sumo3,Cct5
Sumo3,Pa2g4
Sumo3,Eef1g
Sumo3,Eif3d
Sumo3,Rap1a
Sumo3,Atp5b
Sumo3,Tuba4a
Sumo3,Tars
Sumo3,Arhgdia
Sumo3,Ddx5
Sumo3,Arcn1
Sumo3,Galk1
Sumo3,Brd8
Sumo3,Krt10
Sumo3,Rps3
Sumo3,Kif22
Sumo3,Sumo1
Sumo3,Nup93
Sumo3,Tardbp
Sumo3,Sae1
Sumo3,Rangap1
Sumo3,Cap1
Sumo3,Nono
Sumo3,Zbtb38
Sumo3,Phb2
Sumo3,Pcbp2
Sumo3,Matr3
Sumo3,Aldoart2
Sumo3,Hnrnph2
Sumo3,Uba1
Sumo3,Wdr1
Sumo3,Idh2
Sumo3,Wars
Sumo3,RGD1561179
Sumo3,LOC297756
Sumo3,Eprs
Sumo3,Sox6
Sumo3,Hnrnpc
Sumo3,Rpl11
Sumo3,Zeb2
Sumo3,Actn4
Sumo3,Gtf2i
Sumo3,Nxf7
Sumo3,Eif6
Sumo3,Numa1
Sumo3,Tead1
Sumo3,RGD1561333
Sumo3,Trim33
Sumo3,Pml
Sumo3,RGD1565368
Sumo3,RGD1565900
Sumo3,Mcm3
Sumo3,Hdac1l
Sumo3,Rbm25l1
Sumo3,COX2
Sumo3,Tubb2b
Sumo3,Trim24
Sumo3,LOC306079
Sumo3,Krt1
Sumo3,Thop1
Sumo3,Mcm7
Sumo3,Hsp90ab1
Sumo3,Gnb1
Sumo3,Hnrnpu
Sumo3,Hnrnpa2b1
Sumo3,Rab5c
Sumo3,Zbtb20
Sumo3,Prpf40a
Sumo3,Zmiz1
Sumo3,Ccar1
Sumo3,Znhit6
Sumo3,Irf2bp1
Sumo3,Usp39
Sumo3,Ncor2
Sumo3,Wiz
Sumo3,Kdm5b
Sumo3,Morc3
Sumo3,Dhx9
Sumo3,Rps6ka5
Sumo3,Ddx3x
Sumo3,Nfat5
Sumo3,Bcl11b
Sumo3,Hnrnpul1
Sumo3,Hnrnpm
Sumo3,Atn1
Sumo3,Myef2
Sumo3,Xpo5
Sumo3,Rpl6
Sumo3,Tcerg1
Sumo3,Kdm1a
Sumo3,Uba2
Sumo3,Rad54l2
Sumo3,Hnrnpl
Sumo3,Pias4
Sumo3,Nab2
Sumo3,Fscn1
Sumo3,Trim28
Sumo3,Nars
Sumo3,Plec
Sumo3,Rasl2-9
Sumo3,Mcm4
Sumo3,Ccar2
Sumo3,Top2b
Sumo3,Chd3
Sumo3,Rgsl1
Sumo3,LOC679539
Sumo3,LOC680097
Sumo3,LOC687295
Sumo3,Slc25a31
Sumo3,Eno1-ps1
Sumo3,Actr3b
Sumo3,Smchd1
Sumo3,LOC681410
Sumo3,LOC100360950
Sumo3,Potef
Sumo3,Rsf1
Sumo3,Hnrnpul2
Sumo3,RGD1564606
Sumo3,Prdx1l1
Sumo3,Gars
Sumo3,Pcbp1
Sumo3,Sumo2l
Sumo3,LOC100359916
Sumo3,Cbx4
Sumo3,Flnc
Ncoa3,Sumo1
Ikbkg,Sumo1
Ss18,Pias4
Ssx1,Pias4
Pias4,Sumo1
Ssx1,Ncoa3
Ncoa3,Ubc
Fcho2,Eps15
Ube2i,Akap9
ube2i,Akap9
Hmox1,Ubc
CUL3,Tceb2
CUL3,Tceb1
Cul4a,Tceb1
CUL5,Tceb1
Tceb3,Tceb1
Tceb3,Tceb2
BCL2L11,Trim2
Trim2,Bcl2l11
Bcl2l11,Ubc
Nedd4,DDX54
Nedd4,TRIM41
Nedd4,HMCES
Nedd4,TAF1B
Nedd4,FGF21
Nedd4,STAC
Nedd4,H1F0
Nedd4,ADAP2
Nedd4,UBE2M
Nedd4,PRRG1
Nedd4,KCNAB2
Nedd4,BMPR1A
Nedd4,PPID
Nedd4,RNF7
Nedd4,NHP2
Nedd4,SIVA1
Nedd4,RASL11B
Nedd4,NUDT16L1
Nedd4,C7orf50
Nedd4,TCEAL2
Nedd4,MOB3A
Nedd4,TCP10L
Nedd4,DIRAS1
Nedd4,TCEANC
Nedd4,KCNAB1
Nedd4,ZADH2
Nedd4,PPARD
Nedd4,UBOX5
Cacnb1,NEDD4L
Acvr1b,NEDD4L
Brdt,Top1
Brdt,Sfpq
Brdt,Hsp90aa1
Brdt,Hnrnpl
Brdt,Smarce1
Brdt,Erp44
Brdt,Actb
Brdt,Elavl1
Slc14a2,Ubc
Mdm2,Slc14a2
Ubc,Myc
Bad,Ywhab
Ntrk1,Ubc
Ntrk1,Psmc2
Ntrk1,Rab7a
Ntrk1,Ctsd
Ntrk1,Psmb10
Apoa1,Lcat
Fgfr2,FGF1
Fgfr2,FGF7
Ntrk2,BDNF
Ntrk2,NTF3
Ubc,FOXO1
Tnni3,Tnnc1
Tnni3,Tnnt2
S100b,Ager
Pdlim2,Flna
Pdlim2,Myo6
Pdlim2,Actn1
Pdlim2,Actn4
Pdlim2,Myh9
Rbck1,Prkcz
Rbck1,Prkcb
Mdm2,Bcl2l1
Mdm2,Ubc
Ubc,Ppara
Mdm2,Ppara
Snap25,Stx1a
Snap25,Stx3
Snap25,Stx4
Snap25,Stx2
Stx2,Stxbp1
Stxbp2,Stx1a
Stxbp2,Stx3
Stx2,Stxbp2
Stx4,Stxbp1
Gchfr,Gch1
Cd2ap,Cask
Cd2ap,Nphs1
Cd2ap,Nphs1
Nphs1,Cask
Nphs1,Ctnnd1
Nphs1,CTNND1
Nphs1,CD2AP
Nphs1,TJP1
Nphs1,CDH3
NTF3,Ngfr
NGF,Ngfr
Ngf,Ngfr
Mdm2,Sumo1
Mapk14,Tab1
Itgb1,Dmd
Itgb1,Tln1
